No,Nama,Kecamatan,Kabupaten/Kota,Alamat Lengkap,Jenis Limbah,Latitude,Longitude
63,TPS-3R Agung Gumilang,Sentolo,Kabupaten Kulon Progo,"Kabupaten Kulon Progo, DIY",Sampah umum & daur ulang,-7.87,110.209
64,TPS3R Krangga,Lendah,Kabupaten Kulon Progo,"Kabupaten Kulon Progo, DIY",Sampah umum & daur ulang,-7.898,110.197
65,Bank Sampah 3S,Minggir,Kabupaten Sleman,"Daratan III, Sendangarum, Kec. Minggir, Kabupaten Sleman 55562",Sampah umum & daur ulang,-7.744156,110.256833
66,Bank Sampah Abadi,Minggir,Kabupaten Sleman,"Sutan, Sendangsari, Kec. Minggir, Kabupaten Sleman 55562",Daur ulang (TPS3R),-7.716617,110.255748
67,Bank Sampah Apel,Depok,Kabupaten Sleman,"Jl. Cempaka No.143b, Gempol, Condongcatur, Kec. Depok, Kabupaten Sleman 55281",Daur ulang,-7.754513,110.406609
68,Bank Sampah Candisari,Ngaglik,Kabupaten Sleman,"Candi Karang, Sardonoharjo, Kec. Ngaglik, Kabupaten Sleman 55581",Daur ulang,-7.700394,110.417252
69,Bank Sampah Gowok,Depok,Kabupaten Sleman,"Jl. Nogogini, Ambarukmo, Caturtunggal, Kec. Depok, Kabupaten Sleman 55281","Daur ulang, mesin press",-7.787126,110.401888
70,Bank Sampah Griya Sapu Lidi,Godean,Kabupaten Sleman,"Jl. Gumuk Indah, Besi, Sidoarum, Kec. Godean, Kabupaten Sleman 55564",Daur ulang,-7.768132,110.328574
71,Bank Sampah Karanglo Asri,Godean,Kabupaten Sleman,"Karanglo, Sidomoyo, Kec. Godean, Kabupaten Sleman 55264",Daur ulang,-7.749842,110.32055
72,Bank Sampah Ngudimulyo Mendiro,Ngaglik,Kabupaten Sleman,"Jl. Mendiro Raya, Sukoharjo, Kec. Ngaglik, Kabupaten Sleman 55581",Daur ulang,-7.710502,110.416862
73,Bank Sampah Resik Becik,Minggir,Kabupaten Sleman,"Kebitan, Sendangarum, Kec. Minggir, Kabupaten Sleman 55562",Daur ulang,-7.741707,110.249332
74,Bank Sampah Sawo Kecik,Ngemplak,Kabupaten Sleman,"Jl. Jetis Raya, Wedomartani, Kec. Ngemplak, Kabupaten Sleman 55584",Daur ulang,-7.745539,110.413562
75,Bank Sampah Sembada,Turi,Kabupaten Sleman,"Jetis, Donokerto, Kec. Turi, Kabupaten Sleman 55551",Daur ulang + edukasi,-7.680046,110.375621
76,Bank Sampah Sumber Rejeki,Depok,Kabupaten Sleman,"Jl. Mijil No.22, Ngabean Wetan, Condongcatur, Kec. Depok, Kabupaten Sleman 55281",Daur ulang,-7.743263,110.399871
77,Bank Sampah Wimalandaru,Depok,Kabupaten Sleman,"Jl. Sanca, Karang Gayam, Caturtunggal, Kec. Depok, Kabupaten Sleman 55281",Daur ulang + mesin press hidrolik,-7.763279,110.387225
78,TPS 3R Brama Muda,Ngaglik,Kabupaten Sleman,"Dayakan, Sardonoharjo, Kec. Ngaglik, Kabupaten Sleman 55581","Organik, anorganik, kompos",-7.716715,110.390331
79,TPS 3R Giaaaaat KSM,Ngaglik,Kabupaten Sleman,"Gg. Murai, Minomartani, Kec. Ngaglik, Kabupaten Sleman 55581","Sampah umum, daur ulang",-7.739189,110.402621
80,TPS 3R Jetis Widodomartani,Ngemplak,Kabupaten Sleman,"Area Sawah, Widodomartani, Kec. Ngemplak, Kabupaten Sleman 55584",Sampah umum,-7.701131,110.444719
81,TPS 3R Purwo Berhati,Kalasan,Kabupaten Sleman,"Babadan, Purwomartani, Kec. Kalasan, Kabupaten Sleman 55571",Sampah umum & daur ulang,-7.750056,110.459569
82,TPS 3R Randu Alas,Ngaglik,Kabupaten Sleman,"Candi Karang, Sardonoharjo, Kec. Ngaglik, Kabupaten Sleman 55581",Sampah umum & daur ulang,-7.701771,110.409888
83,TPS 3R Swadaya Pps Pare Anom,Godean,Kabupaten Sleman,"Jl. Pare No.IV, Ganjuran, Sidorejo, Kec. Godean, Kabupaten Sleman 55564",Sampah umum,-7.755448,110.275852
84,TPS-T Sinduadi,Mlati,Kabupaten Sleman,"Sinduadi, Kec. Mlati, Kabupaten Sleman, DIY",Sampah terpadu,-7.7623,110.3552
85,TPS3R Cambahan Maju,Gamping,Kabupaten Sleman,"Nogosaren, Nogotirto, Kec. Gamping, Kabupaten Sleman 55592",Sampah umum & daur ulang,-7.768655,110.328718
86,TPS3R Nirmala Tanjung,Ngaglik,Kabupaten Sleman,"Ngaglik, Kabupaten Sleman, DIY",Sampah umum & daur ulang,-7.716,110.389
87,TPS3R Sidokar,Godean,Kabupaten Sleman,"Sembuh Lor, Sidomulyo, Kec. Godean, Kabupaten Sleman 55264",Sampah umum & daur ulang,-7.778928,110.294346
88,TPS3R Sidoluhur,Godean,Kabupaten Sleman,"Jl. Gn. Buthak, Sidoluhur, Kec. Godean, Kabupaten Sleman 55264",Sampah umum,-7.760728,110.27781
89,TPST Condongcatur,Depok,Kabupaten Sleman,"Jl. Tantular No.438 B, Pringwulung, Condongcatur, Kec. Depok, Kabupaten Sleman, DIY 55281",Sampah terpadu,-7.7528,110.3945
90,TPST Donokerto,Turi,Kabupaten Sleman,"Ngemplak, Donokerto, Kec. Turi, Kabupaten Sleman 55551",Sampah terpadu,-7.665622,110.372703
91,TPST Sendangsari,Minggir,Kabupaten Sleman,"Sutun, Sendangsari, Kec. Minggir, Kabupaten Sleman 55562",Sampah terpadu,-7.718174,110.261475
92,TPST Tamanmartani,Kalasan,Kabupaten Sleman,"Sentono, Tamanmartani, Kec. Kalasan, Kabupaten Sleman 55571",Sampah terpadu (organik & anorganik),-7.733699,110.484321
93,Bank Sampah Anugerah 02,Gondokusuman,Kota Yogyakarta,"Jl. Mutiara No.5, Klitren, Kec. Gondokusuman, Kota Yogyakarta 55222",Daur ulang,-7.788597,110.379181
94,Bank Sampah Anugerah 06,Gondokusuman,Kota Yogyakarta,"Jl. Klitren Lor GK-3 No.574, Klitren, Kec. Gondokusuman, Kota Yogyakarta 55222",Daur ulang,-7.785681,110.382089
95,Bank Sampah Bedeng Berseri,Jetis,Kota Yogyakarta,"Jl. Bumijo Kulon No.I, Kec. Jetis, Kota Yogyakarta 55231",Daur ulang,-7.784572,110.359847
96,Bank Sampah Berlian 08,Tegalrejo,Kota Yogyakarta,"Gg. Nuri, Tompeyan, Kec. Tegalrejo, Kota Yogyakarta 55244",Sampah organik (kompos Biowell),-7.786726,110.353628
97,Bank Sampah Blazent,Pakualaman,Kota Yogyakarta,"Jl. Taman Siswa No.7, Gunungketur, Kec. Pakualaman, Kota Yogyakarta 55151",Daur ulang,-7.802649,110.377924
98,Bank Sampah Induk Jogja (Bsi Jogja),Kotagede,Kota Yogyakarta,"Jl. Kemasan No.22, Prenggan, Kec. Kotagede, Kota Yogyakarta 55172",Semua jenis,-7.822117,110.4008
99,Bank Sampah Lestari,Jetis,Kota Yogyakarta,"Bumijo, Kec. Jetis, Kota Yogyakarta 55231",Daur ulang,-7.787656,110.35641
100,Bank Sampah Simul 5,Tegalrejo,Kota Yogyakarta,"Jl. Sidomulyo No.345, Bener, Kec. Tegalrejo, Kota Yogyakarta 55243","Plastik, kertas, kaleng, karton",-7.779186,110.35592
101,Bank Sampah Srikandi,Kotagede,Kota Yogyakarta,"Purbayan, Kec. Kotagede, Kota Yogyakarta, DIY 55173",Daur ulang,-7.826,110.398
102,Bank Sampah Surolaras,Ngampilan,Kota Yogyakarta,"Jl. Suronatan No. NG-2/51, Notoprajan, Kec. Ngampilan, Kota Yogyakarta 55262","Daur ulang, eco enzyme, edukasi",-7.802744,110.359727
103,Bank Sampah Suryo Resik,Mantrijeron,Kota Yogyakarta,"Suryodiningratan RT.44/RW.13, Kec. Mantrijeron, Kota Yogyakarta 55141",Daur ulang anorganik,-7.821151,110.358837
104,TPA Kota Baru,Gondokusuman,Kota Yogyakarta,"Kotabaru, Kec. Gondokusuman, Kota Yogyakarta 55224",Sampah campuran umum,-7.788462,110.369324
105,TPS 3R Kranon,Umbulharjo,Kota Yogyakarta,"Jl. Kranon Timur, Sorosutan, Kec. Umbulharjo, Kota Yogyakarta, DIY 55162",Sampah umum & daur ulang,-7.82,110.3875
106,TPS Demangan,Gondokusuman,Kota Yogyakarta,"Demangan, Kec. Gondokusuman, Kota Yogyakarta 55221",Sampah campuran umum,-7.787967,110.387863
107,TPS3R Nitikan 2,Umbulharjo,Kota Yogyakarta,"Jl. Mendungan, Sorosutan, Kec. Umbulharjo, Kota Yogyakarta, DIY 55163",Sampah umum & daur ulang,-7.8185,110.3867
108,TPST Karangmiri,Umbulharjo,Kota Yogyakarta,"Sayangan, Jagalan, Kec. Umbulharjo, Kota Yogyakarta, DIY 55163",Sampah terpadu,-7.815,110.388
